,City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed
0,Lindi,20,TZ,1587653758,70,29.0,-10.0,39.72,5.1
1,Hobart,40,AU,1587653759,71,13.33,-42.88,147.33,2.6
2,Hermanus,83,ZA,1587653759,65,20.56,-34.42,19.23,3.13
3,Treinta y Tres,91,UY,1587653759,75,21.32,-33.23,-54.38,2.58
4,Nayoro,100,JP,1587653759,95,-2.4,44.35,142.46,1.88
5,Ushuaia,77,AR,1587653583,73,5.78,-54.8,-68.3,1.47
6,Plastun,0,RU,1587653760,92,-0.81,44.76,136.29,3.62
7,Cockburn Town,28,TC,1587653760,77,26.36,21.46,-71.14,6.99
8,Le Moule,75,GP,1587653760,55,30.0,16.33,-61.35,6.2
9,Mataura,28,NZ,1587653760,86,11.67,-46.19,168.86,4.02
10,Khatanga,100,RU,1587653761,95,-2.56,71.97,102.5,6.16
11,Vaini,40,TO,1587653761,100,21.0,-21.2,-175.2,1.0
12,Sandwick,20,GB,1587653761,81,10.0,60.0,-1.25,3.6
13,Mazatlán,40,MX,1587653707,100,19.44,23.22,-106.42,0.91
14,Chilca,17,PE,1587653761,64,23.0,-12.52,-76.74,4.1
15,Arraial do Cabo,40,BR,1587653691,61,27.0,-22.97,-42.03,4.1
16,Butaritari,70,KI,1587653762,78,28.37,3.07,172.79,5.92
17,New Norfolk,93,AU,1587653762,75,13.33,-42.78,147.06,2.24
18,Sambava,69,MG,1587653762,83,25.38,-14.27,50.17,3.85
19,Albany,40,US,1587653495,25,6.11,42.6,-73.97,4.1
20,Turaif,1,SA,1587653762,30,27.0,31.67,38.66,7.2
21,Rikitea,52,PF,1587653762,80,23.96,-23.12,-134.97,5.95
22,Santiago,90,CL,1587653616,82,14.0,-33.46,-70.65,1.5
23,Katsuura,20,JP,1587653763,71,13.0,35.13,140.3,5.1
24,Ocampo,21,MX,1587653763,10,21.18,21.65,-101.5,5.07
25,Hofn,20,IS,1587653763,66,10.0,64.25,-15.21,5.1
26,Tiksi,100,RU,1587653763,97,-5.94,71.69,128.87,1.58
27,Loei,88,TH,1587653763,63,28.89,17.42,101.5,0.41
28,Charlestown,100,AU,1587653764,82,17.78,-32.95,151.67,3.1
29,Yellowknife,20,CA,1587653764,78,-11.11,62.46,-114.35,1.0
30,Saint George,1,US,1587653764,62,12.0,37.1,-113.58,3.51
31,Wajid,100,SO,1587653764,57,28.53,3.81,43.25,2.98
32,Lebu,96,CL,1587653764,84,13.18,-37.62,-73.65,5.48
33,Cayenne,75,GF,1587653765,66,30.0,4.93,-52.33,6.2
34,Rio Grande,40,BR,1587653654,69,24.44,-32.03,-52.1,3.1
35,Goderich,97,CA,1587653765,47,4.44,43.75,-81.72,6.64
36,Aklavik,90,CA,1587653765,78,-13.0,68.22,-135.01,4.6
37,Ostrovnoy,100,RU,1587653765,95,-3.99,68.05,39.51,10.03
38,Charter Township of Clinton,90,US,1587653765,100,5.0,42.59,-82.92,5.7
39,Bambous Virieux,75,MU,1587653766,78,26.0,-20.34,57.76,4.6
40,Khāsh,61,IR,1587653766,26,23.02,28.22,61.22,4.71
